ticket_date,net_weight_kg,month,day,week_number,quarter,lag_1,lag_2,rolling_7,day_of_week
3/2/2012,22590,-1.0213588,2,9,1,0.68703,0.67847,-0.06841,0.49976
3/3/2012,15700,-1.0213588,3,9,1,-0.08151,0.68674,-0.01512,0.99951
3/4/2012,26990,-1.0213588,4,9,1,-0.79419,-0.08167,0.47319,1.49927
3/5/2012,37440,-1.0213588,5,10,1,0.37361,-0.79424,0.80214,-1.49927
3/6/2012,21330,-1.0213588,6,10,1,1.45452,0.37338,0.50771,-0.99951
3/7/2012,24420,-1.0213588,7,10,1,-0.21184,1.45412,0.36962,-0.49976
3/8/2012,18020,-1.0213588,8,10,1,0.10778,-0.21198,0.06943,0.00000
3/9/2012,30020,-1.0213588,9,10,1,-0.55421,0.10759,0.25530,0.49976
3/10/2012,31170,-1.0213588,10,10,1,0.68703,-0.55431,0.64229,0.99951
3/11/2012,34820,-1.0213588,11,10,1,0.80598,0.68674,0.83817,1.49927
3/12/2012,24110,-1.0213588,12,11,1,1.18352,0.80567,0.50471,-1.49927
3/13/2012,30190,-1.0213588,13,11,1,0.07572,1.18316,0.72635,-0.99951
3/14/2012,27770,-1.0213588,14,11,1,0.70461,0.07553,0.81015,-0.49976
3/15/2012,27160,-1.0213588,15,11,1,0.45429,0.70432,1.03879,0.00000
3/16/2012,24740,-1.0213588,16,11,1,0.39120,0.45404,0.90671,0.49976
3/17/2012,13850,-1.0213588,17,11,1,0.14088,0.39096,0.47344,0.99951
3/18/2012,6580,-1.0213588,18,11,1,-0.98554,0.14068,-0.23301,1.49927
3/19/2012,28260,-1.0213588,19,12,1,-1.73753,-0.98557,-0.12919,-1.49927
3/20/2012,22660,-1.0213588,20,12,1,0.50498,-1.73744,-0.31756,-0.99951
3/21/2012,28270,-1.0213588,21,12,1,-0.07427,0.50472,-0.30506,-0.49976
3/22/2012,26820,-1.0213588,22,12,1,0.50601,-0.07443,-0.31356,0.00000
3/23/2012,26250,-1.0213588,23,12,1,0.35603,0.50575,-0.27579,0.49976
3/24/2012,19170,-1.0213588,24,12,1,0.29707,0.35579,-0.14270,0.99951
3/25/2012,8920,-1.0213588,25,12,1,-0.43526,0.29684,-0.08417,1.49927
3/26/2012,26270,-1.0213588,26,13,1,-1.49548,-0.43537,-0.13395,-1.49927
3/27/2012,30050,-1.0213588,27,13,1,0.29914,-1.49543,0.05092,-0.99951
3/28/2012,28410,-1.0213588,28,13,1,0.69013,0.29891,0.05442,-0.49976
3/29/2012,29450,-1.0213588,29,13,1,0.52049,0.68984,0.12021,0.00000
3/30/2012,22790,-1.0213588,30,13,1,0.62807,0.52023,0.03366,0.49976
3/31/2012,20560,-1.0213588,31,13,1,-0.06082,0.62779,0.06843,0.99951
4/1/2012,35210,-0.731404936,1,13,2,-0.29148,-0.06099,0.72610,1.49927
4/2/2012,14470,-0.731404936,2,14,2,1.22386,-0.29162,0.43091,-1.49927
4/3/2012,11380,-0.731404936,3,14,2,-0.92141,1.22349,-0.03614,-0.99951
4/4/2012,24370,-0.731404936,4,14,2,-1.24103,-0.92145,-0.13720,-0.49976
4/5/2012,36350,-0.731404936,5,14,2,0.10261,-1.24102,0.03541,0.00000
4/6/2012,8200,-0.731404936,6,14,2,1.34178,0.10241,-0.32957,0.49976
4/7/2012,41000,-0.731404936,7,14,2,-1.56996,1.34139,0.18175,0.99951
